key,place_name,admin_name1,latitude,longitude,accuracy
IN/576142,Tenkabettu,Karnataka,13.25,74.75,
IN/576144,Varanga,Karnataka,13.25,74.75,
IN/576146,Inna,Karnataka,13.25,74.75,
IN/576150,Chara,Karnataka,13.25,74.75,
IN/576201,Gandhi Maidan,Karnataka,13.675,74.7083,
IN/576214,Yedthari,Karnataka,13.65,74.6667,
IN/576216,Ganguli,Karnataka,13.65,74.6667,4
IN/576225,Saligrama (D K),Karnataka,13.675,74.7083,
IN/576230,Tallur (Belgaum),Karnataka,13.7,74.75,
IN/576231,Takkatte,Karnataka,13.7,74.75,
IN/576232,Uppunda,Karnataka,13.7,74.75,
IN/576233,Vandse,Karnataka,13.7,74.75,4
IN/576236,Airody,Karnataka,13.7,74.75,
IN/576243,Parampalli,Karnataka,13.675,74.7083,
IN/576248,Hakladi,Karnataka,13.675,74.7083,
IN/576250,Haladi,Karnataka,13.675,74.7083,
IN/576252,Hallihole,Karnataka,13.675,74.7083,
IN/576260,Salikere,Karnataka,13.675,74.7083,
IN/576262,Nada,Karnataka,13.675,74.7083,
IN/576263,Naikur,Karnataka,13.675,74.7083,
IN/576266,Saibrakatte,Karnataka,13.675,74.7083,
IN/576271,Baidabettu,Karnataka,13.675,74.7083,
IN/576275,Paduvari,Karnataka,13.675,74.7083,
IN/576276,Achlady,Karnataka,13.675,74.7083,
IN/577001,Davangere,Karnataka,14.4667,75.9167,4
IN/577002,Jayachamarajendra Extn,Karnataka,14.4667,75.9167,
IN/577003,Davangere Mills,Karnataka,14.4667,75.9167,
IN/577004,Davangere Southern Extn,Karnataka,14.4667,75.9167,
IN/577115,B R Project,Karnataka,13.2667,75.7167,
IN/577117,C R Station,Karnataka,13.2667,75.7167,
IN/577122,Javali,Karnataka,13.2667,75.7167,
IN/577123,Jayapura,Karnataka,13.2667,75.7167,
IN/577128,Lakkavalli,Karnataka,13.2667,75.7167,
IN/577134,Agrahara Narasimha Rajpur,Karnataka,13.2667,75.7167,
IN/577135,Sakrepatna,Karnataka,13.2667,75.7167,
IN/577140,Yadgati,Karnataka,13.2667,75.7167,
IN/577147,Devaladakere,Karnataka,13.2667,75.7167,
IN/577154,Jannapura,Karnataka,13.2667,75.7167,
IN/577155,K Bidre,Karnataka,13.2667,75.7167,
IN/577156,Kaimara,Karnataka,13.2667,75.7167,
IN/577159,Lokanathapura,Karnataka,13.2667,75.7167,
IN/577160,Magundi,Karnataka,13.2667,75.7167,
IN/577164,K B Halu,Karnataka,13.2667,75.7167,
IN/577168,Uddeboranahalli,Karnataka,13.2667,75.7167,
IN/577169,Sampige Khan,Karnataka,13.2667,75.7167,
IN/577174,Vastara,Karnataka,13.2667,75.7167,4
IN/577175,Devanur (Kadur),Karnataka,13.2667,75.7167,
IN/577177,Addagadde,Karnataka,13.2667,75.7167,
IN/577201,Vinobanagar Shimoga,Karnataka,13.9083,75.85,
IN/577202,Rajendrapete,Karnataka,13.9083,75.85,
IN/577213,Channageri Town,Karnataka,13.9083,75.85,
IN/577221,Nallur,Karnataka,14.1,75.8833,4
IN/577228,Tarikere,Karnataka,13.7167,75.8167,4
IN/577234,Devarahalli,Karnataka,13.9083,75.85,
IN/577236,Issur,Karnataka,13.9083,75.85,
IN/577246,Yedur,Karnataka,13.9083,75.85,
IN/577301,Jannapura,Karnataka,14.0746,75.8228,
IN/577303,Old Town,Karnataka,14.0746,75.8228,
IN/577401,Gandhi Nagar Sagar,Karnataka,14.0458,75.1917,
IN/577411,Agumbe,Karnataka,14.5833,75.0667,
IN/577415,Devangi,Karnataka,14.5833,75.0667,
IN/577419,Jade,Karnataka,14.5833,75.0667,4
IN/577425,Nagar,Karnataka,13.8333,75.0167,4
IN/577434,Ulabi,Karnataka,14.0458,75.1917,
IN/577435,S V P Colony,Karnataka,14.0458,75.1917,
IN/577437,Chakra Nagar,Karnataka,14.0458,75.1917,
IN/577444,Linganamakki,Karnataka,14.1667,74.85,4
IN/577447,Udagani,Karnataka,13.8833,75.3417,
IN/577501,Jayachanrajendra Extn,Karnataka,14.2473,76.3193,
IN/577511,Adivala,Karnataka,14.2473,76.3193,
IN/577514,Bada,Karnataka,14.2473,76.3193,
IN/577515,Bagur (Chitradurga),Karnataka,14.2473,76.3193,
IN/577522,Challakere,Karnataka,14.3167,76.65,4
IN/577525,Hadadi,Karnataka,14.3667,75.9,4
IN/577528,Jagalur Nehru Road,Karnataka,14.5333,76.35,
IN/577537,Obala Pura,Karnataka,14.2473,76.3193,
IN/577538,Parqasurampura,Karnataka,14.2473,76.3193,
IN/577539,Ramagiri,Karnataka,14.2473,76.3193,
IN/577540,Ramapura (Ctl),Karnataka,14.01,76.3482,
IN/577543,Tallak,Karnataka,14.4667,76.6833,4
IN/577547,Ajjampura Bazar,Karnataka,14.01,76.3482,
IN/577548,Kadur,Karnataka,13.5533,76.0131,4
IN/577558,Aimangala,Karnataka,14.2473,76.3193,
IN/577560,Yeilambalase,Karnataka,14.2473,76.3193,
IN/577565,Nalkudre,Karnataka,14.2473,76.3193,
IN/577567,Laxmisagara,Karnataka,14.2473,76.3193,
IN/577569,Ranajogihalli,Karnataka,14.2473,76.3193,
IN/577571,N Mahadevapura,Karnataka,14.2473,76.3193,
IN/577572,Nagasamudra,Karnataka,14.2473,76.3193,
IN/577575,Vasana,Karnataka,14.2473,76.3193,
IN/577580,Malalkere,Karnataka,14.2473,76.3193,
IN/577585,Abbinahole,Karnataka,14.2473,76.3193,
IN/577587,Gannaikanahalli,Karnataka,14.2473,76.3193,
IN/577590,Nanditavare,Karnataka,14.2473,76.3193,
